id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
428,1468,2012-11-27,HEALTH AND FAMILY WELFARE,Policy for rising cases of surrogacy,,227/59,USQ 525,
429,1468,2012-08-16,WOMEN AND CHILD DEVELOPMENT,Policy to check incidents of crimes and sexual abuse in children homes,,226/59,USQ 757,
430,1468,2012-08-16,STEEL,Irregularities in awarding of tender in NMDC,,226/58,USQ 740,
431,1468,2011-12-01,CIVIL AVIATION,"proposal for Airport at Zevar, Greater Noida",,224/59,USQ 1111,
432,1468,2011-11-28,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Mandatory Hallmarking on metals,,224/47,USQ 653,
433,1468,2011-11-28,COAL,Cancellation of coal blocks,,224/46,USQ 630,
434,1468,2010-11-18,COMMUNICATIONS & INFORMATION TECHNOLOGY,Nomination of Members in Telephone Advisory Committee,,221/94,USQ 956,
435,1468,2011-11-23,URBAN DEVELOPMENT,construction of additional flats in games village,,224/3,SQ 34,
436,2355,2019-06-26,PETROLEUM AND NATURAL GAS,Stay order on allocation procedure of petrol pumps,,249/186,USQ 589,
437,2355,2018-07-23,JAL SHAKTI,Central assistance for CADWM project under ISBIG,,246/115,SQ 625,
438,2355,2017-12-21,HUMAN RESOURCE DEVELOPMENT,,,244/105,USQ 741,
439,2355,2017-08-04,RAILWAYS,Employment to Disabled persons,,243/114,USQ 2387,
440,2355,2021-12-09,LABOUR AND EMPLOYMENT,Implementation of National Child Labour Project,,255/11,SQ 122,
441,2355,2021-08-03,HEALTH AND FAMILY WELFARE,Health Minister Discretionary Grant,,254/62,USQ 1717,
442,2355,2021-08-02,DEFENCE,Compassionate Jobs,,254/58,USQ 1458,
443,2355,2018-03-14,HOME AFFAIRS,Law to protect couples of inter-caste marriage,,245/96,USQ 2144,
444,2356,2021-08-10,CULTURE,Replacing Star with Ashok Stambh on Jaipur Column,,254/96,USQ 2424,
445,1905,2003-12-19,CHEMICALS AND FERTILIZERS,Outstanding amount of subsidy.,,200/242,USQ 1882,
446,1905,2003-12-18,NITI AYOG,Financial assistance to Jharkhand,,200/147,USQ 1833,
447,1905,2003-08-08,HUMAN RESOURCE DEVELOPMENT,Minority institutions,,199/138,USQ 2162,
448,1905,2003-04-09,TEXTILES,Non-purchase of handloom items by Government Departments,,198/624,USQ 2931,
449,1905,2003-05-08,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Commodities for BPL people in Jhgarkhand,,198/521,USQ 5000,
450,1905,2003-04-28,SOCIAL JUSTICE AND EMPOWERMENT,Legal provisions for safety of handicapped persons,,198/415,SQ 540,
451,1905,2003-07-25,RAILWAYS,Law to deal with ticketless passengers,,199/43,USQ 656,
452,91,2011-12-16,CHEMICALS AND FERTILIZERS,Revival of sick units,,224/151,USQ 2690,
453,91,2001-12-13,ROAD TRANSPORT AND HIGHWAYS,Construction of new national highways in Tamil Nadu,,194/277,USQ 2719,
454,91,2000-12-22,RAILWAYS,Rail connection between Shyamsundarpur and Chanchai Halt,,191/296,USQ 3741,
455,91,2000-12-12,CIVIL AVIATION,Role of aviation policy on international services,,191/259,USQ 2375,
456,91,2000-12-12,CIVIL AVIATION,Role of aviation policy on international services,,191/195,USQ 2375,
457,91,2000-12-11,INFORMATION AND BROADCASTING,Method approval of TV serials,,191/187,USQ 2289,
458,1906,2007-05-11,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Price rise,,210/373,USQ 4027,
459,1906,2007-03-08,ROAD TRANSPORT AND HIGHWAYS,Fifth phase of NHDP,,210/167,SQ 144,
460,92,2000-05-05,HEALTH AND FAMILY WELFARE,"CGHS Dispensary at Gole Market, New Delhi.",,189/389,USQ 4301,
461,92,1999-12-20,SOCIAL JUSTICE AND EMPOWERMENT,Implementation of recommendations of NSKC,,188/116,USQ 1928,
462,2358,2022-03-25,COMMERCE AND INDUSTRY,Measures to reduce truck transit time into Benapole port in Bangladesh,,256/225,USQ 2586,
463,2358,2022-03-17,"Environment, Forests  & Climate Change",Effectiveness of smog towers,,256/175,SQ 175,
464,2358,2019-12-12,ELECTRONICS AND INFORMATION TECHNOLOGY,National strategy on Artificial Intelligence,,250/123,USQ 2836,
465,2358,2019-07-11,DEVELOPMENT OF NORTH EASTERN REGION,Accruals under NLCPR,,249/103,USQ 2078,
466,2358,2022-02-07,CIVIL AVIATION,National Air Sports Policy,,256/79,USQ 492,
467,2358,2021-07-27,NEW AND RENEWABLE ENERGY,Additional capacity created under PM KUSUM,,254/34,USQ 930,
468,2358,2021-07-20,POWER,Power equipment manufacturing Scheme,,254/10,USQ 308,
469,2358,2020-03-06,PANCHAYATI RAJ,Sale and control of Alcohol and narcotic substances in scheduled areas,,251/58,SQ 168,
470,2358,2020-03-05,ATOMIC ENERGY,Setting up of new Nuclear Power Plants,,251/50,SQ 160,
471,2358,2019-02-06,CIVIL AVIATION,Aircraft accident investigation Bureau,,248/40,USQ 305,
472,2358,2018-12-14,LAW  AND JUSTICE,Reforms in Central Tribunals,,247/18,USQ 586,
473,2358,2017-08-01,YOUTH AFFAIRS & SPORTS,Online portal to search sports talent,,243/90,USQ 1916,
474,2358,2019-06-24,DEFENCE,Under utilization of defence budget,,249/8,SQ 17,
475,1472,1988-03-16,HEALTH AND FAMILY WELFARE,Expenditure on Cancer Treatment,,145/1,USQ 2251,
476,1907,2013-03-21,CIVIL AVIATION,STs in cabin crew contract appointment,,228/176,USQ 2647,
477,1907,2011-08-25,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Case won by Officers,,223/331,USQ 2523,
478,1907,2010-03-16,NITI AYOG,NLUP in Mizoram,,219/151,USQ 2105,
479,1907,2010-03-16,FINANCE,Acquisition of private land for construction of Government quarters,,219/144,USQ 2008,Motilal Vora
480,1907,2005-08-10,COMMERCE AND INDUSTRY,Indo-Bangladesh Border Trade Centre,,205/188,USQ 1760,
481,1907,2004-07-16,RAILWAYS,New rail line in Manipur,,202/60,SQ 165,
482,93,2007-05-08,FINANCE,Pending proposals with LIC,,210/480,USQ 3565,
483,93,2002-08-01,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Disposal of foodgrains by FCI,,196/267,SQ 262,
484,93,2002-08-12,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Legal rights to persons buying flats in group housing societies,,196/252,USQ 2787,
485,93,2002-07-29,INFORMATION AND BROADCASTING,Advertisements of liquor companies,,196/197,USQ 1285,
486,93,2002-04-22,HEALTH AND FAMILY WELFARE,Setting up of Cardiac Cath Lab in Safdarjung Hospital,,195/253,USQ 2951,
487,93,2001-11-29,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Lifting freeze on LTC,,194/121,USQ 1322,
488,93,2001-07-24,FINANCE AND COMPANY AFFAIRS,Janta Deposit scheme,,193/325,SQ 37,
489,93,2001-04-17,COMMUNICATIONS & INFORMATION TECHNOLOGY,Illegal occupation of DoP Land,,192/310,USQ 3382,
490,93,2001-04-27,ENVIRONMENT AND FORESTS,Pollution of sea waters by dhruva reactor,,192/279,USQ 4620,
491,93,2000-12-15,ENVIRONMENT AND FORESTS,Dereservation of forest areas,,191/231,USQ 2857,
492,93,2000-08-22,TOURISM AND CULTURE,Issue of visas to foreign tourists,,190/,USQ 3223,
493,93,2000-05-08,INFORMATION AND BROADCASTING,Advertisement of whisky and cigarettes on TV,,189/266,USQ 4488,
494,93,2002-11-25,HEALTH AND FAMILY WELFARE,Ratio between CGHS beneficiaries and Doctors,,197/58,USQ 527,
495,93,2002-11-18,INFORMATION AND BROADCASTING,Surrogate advertisements in media,,197/12,USQ 95,
496,93,2002-03-14,COMMUNICATIONS & INFORMATION TECHNOLOGY,Waiting list in Najafgarh Telephone Exchange,,195/97,USQ 1174,
497,93,2002-03-04,"PORTS, SHIPPING AND WATERWAYS",Patronage of SCI in crude import,,195/41,USQ 417,
498,93,2002-02-26,PETROLEUM AND NATURAL GAS,Policy on LPG and Kerosene after Dismantling APM,,195/14,USQ 128,
499,93,2001-11-26,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Allotment of land for mother dairy at Vasant Vihar,,194/85,USQ 892,
500,93,1999-02-26,YOUTH AFFAIRS & SPORTS,Proposals for making sports more attractive,,186/60,USQ 554,
501,93,1999-03-12,ENVIRONMENT AND FORESTS,Threat to Katarnighat wildlife sanctuary by Central Seed Farm,,186/11,USQ 1887,
502,93,1998-12-07,SOCIAL JUSTICE AND EMPOWERMENT,National commission for old people.,,185/89,SQ 120,
503,93,1998-12-15,LAW  AND JUSTICE,Trust in the names  of Ex-Prime Ministers,,185/20,USQ 1788,
504,93,2000-02-25,HEALTH AND FAMILY WELFARE,Ban on consumption of tobacco,,189/3,SQ 26,S. AGNIRAJ
505,93,1999-04-16,HEALTH AND FAMILY WELFARE,Sale of outdated medicines,,186/9,USQ 2798,
506,93,1999-03-04,HEALTH AND FAMILY WELFARE,Cigarette consumption,,186/2,USQ 931,
507,2359,2019-11-18,DEFENCE,Status of Defence Industrial Corridor in Tamil Nadu,,250/11,USQ 29,"Chhaya Verma, Vishambhar Prasad Nishad"
508,2359,2017-12-20,LABOUR AND EMPLOYMENT,Survey regarding employment and Unemployment,,244/31,USQ 593,
509,94,2008-03-14,AGRICULTURE,survey of drought affected areas,,213/450,USQ 1575,
510,94,2008-04-28,LAW  AND JUSTICE,use of Hindi in lower courts,,213/394,USQ 3625,
511,94,2008-04-28,LAW  AND JUSTICE,electors photo identity cards,,213/393,USQ 3624,
512,94,2007-11-28,DEFENCE,preparations for making Indian Soldiers hi-tech,,212/102,USQ 881,
513,94,2007-09-10,HUMAN RESOURCE DEVELOPMENT,opening of IITs and IIMs,,211/252,SQ 379,
514,94,2007-09-06,ATOMIC ENERGY,installation of AHWR in India,,211/225,USQ 2450,
515,94,2007-08-22,HOME AFFAIRS,prisoners died in Tihar Jail,,211/159,USQ 1115,
516,94,2007-03-12,SPACE,Safeguarding communication satellite,,210/368,USQ 1457,
517,94,2006-08-24,EXTERNAL AFFAIRS,Visa to Nigerians,,208/218,USQ 2916,
518,94,2006-05-10,HOME AFFAIRS,Resolution for including areas of Twang  region in sixth schedule.,,207/418,SQ 374,
519,94,2006-03-09,YOUTH AFFAIRS & SPORTS,Sports potential amongst youth of NER,,207/242,SQ 265,
520,94,2006-03-09,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Procedure for writing of ACR,,207/167,USQ 1834,
521,94,2006-03-02,URBAN DEVELOPMENT,Concession to women in Stamp Duty,,207/109,USQ 1146,
522,94,2005-12-16,AGRICULTURE,Damage to onion crop in Maharashtra,,206/401,SQ 343,Tariq Anwar
523,94,2005-12-15,SCIENCE AND TECHNOLOGY,Creation of a Gene bank,,206/218,SQ 322,
524,94,2005-12-02,HEALTH AND FAMILY WELFARE,Progress of construction of AIIMS like Hospital in the country,,206/113,USQ 1130,
525,94,2005-08-11,COMMUNICATIONS & INFORMATION TECHNOLOGY,Unwanted phone calls,,205/197,USQ 1907,
526,94,2005-03-04,AGRICULTURE,Withdrawal of insurance schemes,,204/205,USQ 474,
527,94,2005-03-03,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Lowering the eligibility criteria for civil services,,204/203,USQ 395,
528,94,2004-12-17,AGRICULTURE,New Technologies/systems to check the loss of foodgrains,,203/217,SQ 243,
529,94,2004-12-09,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Administrative reforms,,203/190,SQ 129,
530,94,2008-03-03,HUMAN RESOURCE DEVELOPMENT,operation of foreign educational institutes,,213/75,USQ 342,
531,94,2008-03-10,HUMAN RESOURCE DEVELOPMENT,declining level of teachers training institutes,,213/45,USQ 990,
532,94,2006-11-28,CIVIL AVIATION,Shortage of commercial pilots,,209/52,SQ 85,
533,94,2005-11-28,INFORMATION AND BROADCASTING,Constitution of Media Commission,,206/59,USQ 540,
534,94,2005-11-28,HUMAN RESOURCE DEVELOPMENT,Elementary education and SSA in NE States,,206/46,SQ 64,T. Subbarami Reddy
535,94,2005-07-29,HEALTH AND FAMILY WELFARE,AIIMS like hospital in Rajasthan,,205/62,SQ 87,
536,94,2005-03-11,AGRICULTURE,Comparative milk production,,204/72,USQ 1089,
537,94,2005-03-09,DEFENCE,Re-examination of one-rank-one-pension proposal,,204/42,USQ 804,
538,94,2005-03-03,LABOUR AND EMPLOYMENT,Funds allocated for unorganised sector,,204/28,USQ 372,
539,94,2004-07-12,INFORMATION AND BROADCASTING,Statutory authroity for private TV channels,,202/27,SQ 82,
540,94,2007-02-26,MINORITY AFFAIRS,Recommendations of Sachar Committee Report,,210/8,USQ 73,
541,94,1996-02-28,EXTERNAL AFFAIRS,Foreign Nationals Residing Illegally in India.,,176/1,USQ 240,
542,94,1994-12-19,COAL AND MINES,CBI Enquiry in BCCL,,172/4,USQ 1751,
543,1909,2006-07-31,FOOD PROCESSING INDUSTRIES,Setting up of mega food park in Karnataka,,208/266,SQ 114,VIJAY MALLYA
544,1909,2006-07-26,HOME AFFAIRS,Panels for tackling Kashmir problem,,208/256,USQ 211,
545,1909,2006-08-03,OVERSEAS INDIAN AFFAIRS,"Lacune in Indian Immigration Act, 1983",,208/120,USQ 1101,
546,1909,2006-05-19,HEALTH AND FAMILY WELFARE,Foreign aid to various health programmes,,207/365,USQ 3767,
547,1909,2006-03-14,PETROLEUM AND NATURAL GAS,Mixture of water in LPG cylinders,,207/251,USQ 2353,
548,1909,2006-03-09,EXTERNAL AFFAIRS,Outsourcing services in the process of issue of visas,,207/164,SQ 264,
549,1909,2006-03-08,HOME AFFAIRS,Blueline/DTC buses involved in accidents in Delhi,,207/158,USQ 1693,
550,1909,2006-03-08,COMMERCE AND INDUSTRY,Special Assistance for development of tea industry in Assam,,207/154,USQ 1648,
551,1909,2005-12-08,COAL,Collapse of Colliery,,206/346,SQ 221,
552,1909,2005-12-07,HOME AFFAIRS,RTV Buses plying in Delhi,,206/345,SQ 207,
553,1909,2005-12-22,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Fifth phase of NHDP,,206/303,USQ 3328,
554,1909,2005-12-13,FINANCE,Expert Committee on Income Tax Act,,206/202,USQ 2146,
555,1909,2005-12-06,FINANCE AND COMPANY AFFAIRS,Tax concessions for food processing industry,,206/134,USQ 1427,
556,1909,2005-08-22,CULTURE,Encroachment on tomb of Mirza Ghalib,,205/361,SQ 366,LALIT SURI
557,1909,2005-08-17,HOME AFFAIRS,Augmenting strength of Delhi Police,,205/254,SQ 335,
558,1909,2005-08-11,COAL,Accident in CCL mine in Hazaribagh,,205/194,USQ 1886,
559,1909,2005-05-10,PETROLEUM AND NATURAL GAS,Import of LNG from Qatar,,204/552,USQ 5059,
560,1909,2005-03-07,HUMAN RESOURCE DEVELOPMENT,"Extension Campus of IIIT, Allahabad at Amethi",,204/450,USQ 634,
561,1909,2005-03-22,PETROLEUM AND NATURAL GAS,Pilot project for lignite gasification,,204/277,SQ 289,
562,1909,2004-12-23,COAL,Setting of coal by private parties,,203/265,USQ 2232,
563,1909,2004-12-21,FINANCE,Infrastructure bonds,,203/253,USQ 1987,
564,1909,2004-12-15,DEFENCE,Leakage of question paper at Ranchi,,203/,USQ 1316,
565,1909,2004-08-16,URBAN DEVELOPMENT,Covering of drains in Delhi,,202/119,USQ 1305,
566,1909,2003-12-22,"PORTS, SHIPPING AND WATERWAYS",Upgrading of shipping industry,,200/244,USQ 2123,
567,1909,2003-12-19,RAILWAYS,Vacancies in railways,,200/159,USQ 1960,
568,1909,2003-12-15,HEALTH AND FAMILY WELFARE,Medical claims of non-VIP pensioners,,200/110,USQ 1314,
569,1909,2003-08-08,RAILWAYS,Qualified drivers in Railways,,199/141,USQ 2212,
570,1909,2003-05-06,FINANCE AND COMPANY AFFAIRS,Special provisions for small investors,,198/577,SQ 630,
571,1909,2003-03-11,FINANCE AND COMPANY AFFAIRS,Tax free bonds,,198/244,USQ 2090,
572,1909,2003-03-03,HEALTH AND FAMILY WELFARE,Medical reimbursement cases by non-VIP pensioners,,198/122,USQ 1122,
573,1909,2006-08-01,FINANCE AND COMPANY AFFAIRS,Floating of infrastructure bonds,,208/59,USQ 782,
574,1909,2006-02-27,PARLIAMENTARY AFFAIRS,"Amendments in Salary, Allowances and pension of Members of Parliament Act, 1954",,207/86,USQ 831,
575,1909,2006-02-21,CIVIL AVIATION,New-flying institutes,,207/29,USQ 197,
576,1909,2006-02-21,CIVIL AVIATION,International Airport at Noida,,207/28,USQ 194,
577,1909,2005-11-24,EXTERNAL AFFAIRS,Indians in British Jails,,206/20,USQ 182,
578,1909,2005-11-24,COMMUNICATIONS & INFORMATION TECHNOLOGY,Spread of Broadband Policy,,206/14,USQ 147,
579,1909,2005-08-01,CULTURE,Bhagwan Mahavira birth centenary celebrations,,205/78,USQ 653,
580,1909,2005-07-28,YOUTH AFFAIRS & SPORTS,Corruption in SAI,,205/43,SQ 64,
581,1909,2005-07-26,COMPANY AFFAIRS,Restructuring of Competition Commission,,205/25,USQ 124,
582,1909,2005-07-26,CIVIL AVIATION,Sale of AI and IA`s equity to staff,,205/23,USQ 115,
583,1909,2004-12-13,LAW  AND JUSTICE,Pending cases in Delhi Courts,,203/98,USQ 1100,
584,1909,2004-12-13,HUMAN RESOURCE DEVELOPMENT,Appointment of teachers in KVs,,203/93,USQ 1052,
585,1909,2004-12-07,CIVIL AVIATION,Airport economic regulatory authority,,203/38,USQ 434,
586,1909,2004-12-02,COMMUNICATIONS & INFORMATION TECHNOLOGY,Losses suffered by BSNL through cell one connections,,203/10,USQ 97,
587,1909,2004-07-22,COMMUNICATIONS & INFORMATION TECHNOLOGY,Use of telephone lines by terrorist network,,202/92,USQ 933,
588,1909,2004-07-21,DEFENCE,Loss of Jaguar fighters,,202/83,USQ 796,
589,1909,2003-12-10,HOME AFFAIRS,Cases under the motor vehicles Act in Delhi,,200/78,USQ 822,
590,1909,2003-12-05,YOUTH AFFAIRS & SPORTS,Opening of army boy sports companies,,200/47,USQ 482,
591,1024,2006-08-17,URBAN DEVELOPMENT,Inclusion of Gujarat cities under JNNURM,,208/176,USQ 2224,JAYANTILAL BAROT
592,1024,1989-12-22,SOCIAL JUSTICE AND EMPOWERMENT,Inclusion of Dhangar in the list of scheduled tribe community,,152/6,SQ 2,
593,2360,2019-12-12,LAW  AND JUSTICE,Mobile application to read Supreme Court Judgement,,250/114,SQ 256,
594,95,2002-03-19,TOURISM AND CULTURE,Infrastructure on Buddhist Sector,,195/514,USQ 1760,
595,95,2000-05-16,CIVIL AVIATION,Irregularities in recruitment of air hostesses in Alliance airlines,,189/330,USQ 5345,
596,95,2000-04-19,DEFENCE,Regiment of Ladakh Scouts,,189/159,USQ 2767,
597,95,1998-12-07,SOCIAL JUSTICE AND EMPOWERMENT,ST status to ARGON MUSLIM ladakha,,185/116,USQ 872,
598,1910,2007-08-14,FINANCE,"Insurance laws (Amendment) Bill, 2006",,211/115,USQ 349,
599,1910,2007-04-27,AGRICULTURE,Compensation to farmers of border area,,210/262,USQ 2736,
600,1910,2006-12-13,DEFENCE,Compensation to farmers for use of their land for defence,,209/218,USQ 2294,
601,1910,2006-08-17,EXTERNAL AFFAIRS,Opening of Suchetgarh-Sialkot Border,,208/167,SQ 303,
602,1910,2005-12-16,RAILWAYS,Vacancies in railways,,206/238,USQ 2697,
603,1910,2005-12-12,HUMAN RESOURCE DEVELOPMENT,Reservation in Jawaharlal Nehru University,,206/185,USQ 2018,
604,1910,2005-08-09,PETROLEUM AND NATURAL GAS,Allocation of kerosene to Jammu and Kashmir,,205/168,SQ 236,
605,1910,2005-05-13,HEALTH AND FAMILY WELFARE,Violation of guidelines by CMO of CGHS,,204/654,USQ 5493,
606,1910,2005-04-27,DEFENCE,Release of compensation to farmers of Jammu and Kashmir,,204/410,SQ 477,
607,1910,2005-03-23,DEFENCE,Compensation to villagers affected by bunkers,,204/182,USQ 2354,
608,1910,2003-08-08,HUMAN RESOURCE DEVELOPMENT,Unemployed educated youth in J&K,,199/136,USQ 2144,
609,1910,2003-08-07,COMMUNICATIONS & INFORMATION TECHNOLOGY,Waiting list of telephone connections in J&K,,199/123,USQ 1927,
610,1910,2003-03-10,HEALTH AND FAMILY WELFARE,Kidney transplantation,,198/214,USQ 1913,
611,1910,2006-11-30,COAL,Miners killed at the Nagda mine,,209/80,USQ 875,
612,1910,2005-03-11,HEALTH AND FAMILY WELFARE,AIIMS like institutions,,204/74,USQ 1150,
613,1910,2003-07-25,HUMAN RESOURCE DEVELOPMENT,Centrally sponsored schemes for employment generation in J&K,,199/40,USQ 606,
614,1910,2006-07-24,FOOD PROCESSING INDUSTRIES,Policy for betterment of FPIs and Agri-business,,208/3,USQ 2,
615,96,2003-07-25,RAILWAYS,Refrigerated coaches,,199/272,USQ 697,
616,96,2003-04-09,HOME AFFAIRS,"Running of betting racket during Cricket World Cup, 2003",,198/550,SQ 390,
617,96,2003-03-13,COMMUNICATIONS & INFORMATION TECHNOLOGY,"Amendment of Indian Post office Act, 1898",,198/310,SQ 330,
618,96,2003-02-27,LABOUR AND EMPLOYMENT,Legislation for unorganised workers,,198/295,USQ 1033,
619,96,2003-03-13,COMMUNICATIONS & INFORMATION TECHNOLOGY,Policy for Hardware sector,,198/273,USQ 2352,
620,96,2002-12-20,COMMERCE AND INDUSTRY,Control of import of processed foods,,197/474,USQ 3179,
621,96,2002-12-18,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Study undertaken by centre for media studies on corruption in public service,,197/319,USQ 2914,
622,96,2002-12-13,AGRICULTURE,Devastation of BT cotton by American bollworm,,197/249,USQ 2377,"J. CHITHARANJAN                         , V.V.RAGHAVAN"
623,96,2002-07-25,ROAD TRANSPORT AND HIGHWAYS,Collection of Toll-Tax,,196/286,SQ 162,
624,96,2002-04-23,FINANCE AND COMPANY AFFAIRS,Failure of co-operative banks,,195/520,USQ 3125,
625,96,2002-03-22,RAILWAYS,Missing containers of concor,,195/515,USQ 2169,
626,96,2002-04-15,"PORTS, SHIPPING AND WATERWAYS",Sethu Samuthram Scheme,,195/477,SQ 314,
627,96,2002-05-17,SCIENCE AND TECHNOLOGY,Eartnquake risk evaluation centre,,195/476,USQ 5500,
628,96,2002-04-23,PETROLEUM AND NATURAL GAS,Reaction of LPG marketers over LPG subsidy,,195/450,USQ 3201,
629,96,2002-04-22,LAW  AND JUSTICE,"Amendments in arbitration and conciliation Act,1996",,195/441,USQ 3033,
630,96,2002-05-02,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Irregularities in the financial upgradation under ACP in ICHR,,195/304,USQ 3913,
631,96,2002-03-07,ATOMIC ENERGY,"Amendment in Atomic Energy Act, 1962",,195/184,USQ 760,
632,96,2002-03-05,FINANCE AND COMPANY AFFAIRS,New legislation for recovery of NPAs,,195/112,USQ 531,
633,96,2002-03-14,COMMUNICATIONS & INFORMATION TECHNOLOGY,Department of Posts` new agenda,,195/101,USQ 1198,
634,96,2001-12-18,FINANCE AND COMPANY AFFAIRS,Examination of reports on expenditure reforms,,194/320,USQ 2940,
